Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
agu	agua1252	Aguacateco	awakateko		Latn	Educational	2 Stable	Ascending	0	43,111		ixil1250	Yes	
mgs	mand1423	Manda (Tanzania)			Latn	Vigorous	2 Stable	Emerging	0	43,100		mand1475	Yes	
wbl	wakh1245	Wakhi			Latn	Vigorous	2 Stable	Ascending	0	43,018		saka1303	Yes	
bje	biao1254	Biao-Jiao Mien				Vigorous	3 Endangered	Still	0	43,000		mien1242	Yes	
gqa	gaan1243	Ga'anda			Latn	Vigorous	3 Endangered	Emerging	0	43,000		east2649	Yes	
lgz	lige1238	Ligenza			Latn	Vigorous	2 Stable	Emerging	0	43,000		ngom1274	Yes	
sjm	mapu1244	Mapun			Latn	Developing	2 Stable	Emerging	0	43,000		born1254	Yes	
nlj	nyal1250	Nyali			Latn	Vigorous	2 Stable	Emerging	0	43,000		vanu1247	Yes	
bgs	taga1272	Tagabawa			Latn	Educational	2 Stable	Ascending	0	43,000		sout2913	Yes	
oji		Ojibwa	ᐊᓂᐦᔑᓈᐯᒧᐎᓐ		Cans				0	42,947			Yes	
mzw	degg1238	Deg			Latn	Developing	2 Stable	Ascending	0	42,900		chak1272	Yes	
amf	hame1242	Hamer-Banna			Latn	Vigorous	2 Stable	Ascending	0	42,800		hame1241	Yes	
nkh	khez1235	Khezha Naga			Latn	Developing	2 Stable	Still	0	42,794		anga1244	Yes	
nwb	nyab1255	Nyabwa			Latn	Developing	2 Stable	Ascending	0	42,700		weea1234	Yes	
gss	gree1271	Greek Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	42,600		lsfi1234	Yes	
bqk	band1342	Banda-Mbrès			Latn	Vigorous	2 Stable	Emerging	0	42,500		cent2022	Yes	
imo	imbo1238	Imbongu			Latn	Developing	2 Stable	Emerging	0	42,500		auag1234	Yes	
mgb	mara1396	Mararit			Latn	Vigorous	2 Stable	Emerging	0	42,400		tama1329	Yes	
kjf	khal1270	Khalaj				Developing			0	42,100		book1242	No	Declared non-existent by ISO
bcp	bali1274	Bali (Democratic Republic of Congo)			Latn	Vigorous	2 Stable	Emerging	0	42,000		bali1286	Yes	
lse	luse1252	Lusengo			Latn	Vigorous	2 Stable	Still	0	42,000		ngir1248	Yes	
mmz	maba1270	Mabaale			Latn	Vigorous	2 Stable	Still	0	42,000		libi1242	Yes	
wbi	vwan1235	Vwanji			Latn	Developing	2 Stable	Ascending	0	41,800		wanj1243	Yes	
kcn	nubi1253	Nubi			Latn	Vigorous	2 Stable	Emerging	0	41,730		east2897	Yes	
iku		Inuktitut	ᐃᓄᒃᑎᑐᑦ	Spoken & Written	Cans				0	41,680			Yes	
tdh	thul1246	Thulung			Deva	Developing	2 Stable	Ascending	0	41,593		west2424	Yes	
koi	komi1269	Komi-Permyak	перым-коми	Spoken & Written	Cyrl	Developing	3 Endangered	Ascending	0	41,447	kom	komi1267	Possibly	But probably want to use macrolanguage
cma	maaa1253	Maa			Latn	Vigorous	2 Stable	Emerging	0	41,400		koho1243	Yes	
xsb	tina1248	Sambal			Latn	Educational	3 Endangered	Ascending	0	41,381		tina1255	Yes	
amj	amda1238	Amdang			Latn	Vigorous	2 Stable	Emerging	0	41,100		fura1235	Yes	
bdp	bend1258	Bende			Latn	Vigorous	2 Stable	Emerging	0	41,000		bend1261	Yes	
gwt	gawa1247	Gawar-Bati			Arab	Threatened	2 Stable	Emerging	0	41,000		gawa1246	Yes	
mux	boun1245	Bo-Ung			Latn	Developing	2 Stable	Emerging	0	40,900		melp1239	Yes	
wbm	nucl1290	Wa			Latn	Developing	2 Stable	Ascending	0	40,700		waaa1245	Yes	
xrb	east2398	Eastern Karaboro			Latn	Developing	2 Stable	Ascending	0	40,610		kara1479	Yes	
sgh	shug1248	Shughni			Cyrl	Vigorous	2 Stable	Emerging	0	40,534		shug1253	Yes	
kvj	psik1239	Psikye			Latn	Developing	2 Stable	Emerging	0	40,500		higi1241	Yes	
krh	kura1249	Kurama			Latn	Vigorous	2 Stable	Emerging	0	40,300		kaur1268	Yes	
tpx	acat1239	Acatepec Tlapanec			Latn	Vigorous	2 Stable	Emerging	0	40,200		west2948	Yes	
rwm	amba1263	Amba (Uganda)			Latn	Threatened	3 Endangered	Emerging	0	40,100		komo1265	Yes	
xkv	kgal1244	Kgalagadi			Latn	Vigorous	2 Stable	Emerging	0	40,100		west2997	Yes	
tsz	pure1242	Purepecha			Latn	Developing	2 Stable	Ascending	0	40,060		tara1323	Yes	
ask	ashk1246	Ashkun			Arab	Vigorous	2 Stable	Emerging	0	40,020		nuri1243	Yes	
akh	anga1292	Angal Heneng			Latn	Developing	2 Stable	Emerging	0	40,000		anga1314	Yes	
ahs	ashe1269	Ashe			Latn	Vigorous	2 Stable	Emerging	0	40,000		tino1236	Yes	
bau	bada1258	Bada (Nigeria)			Latn	Vigorous	2 Stable	Still	0	40,000		jara1275	Yes	
bkc	baka1272	Baka (Cameroon)			Latn	Vigorous	2 Stable	Emerging	0	40,000		baka1278	Yes	
beq	beem1239	Beembe			Latn	Developing	2 Stable	Emerging	0	40,000		kiko1234	Yes	
bip	bila1255	Bila			Latn	Vigorous	2 Stable	Emerging	0	40,000		bila1259	Yes	
bfi	brit1235	British Sign Language	British Sign Language		Zxxx	Developing	2 Stable	Ascending	0	40,000		banz1243	Yes	
stt	bude1236	Budeh Stieng			Latn	Vigorous	2 Stable	Still	0	40,000		stie1250	Yes	
hmc	cent2013	Central Huishui Miao				Vigorous	2 Stable	Still	0	40,000	hmn	huis1239	Possibly	But probably want to use macrolanguage
nhn	cent2132	Central Nahuatl			Latn	Threatened	3 Endangered	Ascending	0	40,000		tlax1237	Yes	
etx	eten1239	Eten			Latn	Vigorous	2 Stable	Emerging	0	40,000		iten1244	Yes	
kvq	geba1237	Geba Karen			Mymr	Vigorous	2 Stable	Emerging	0	40,000		geba1236	Yes	
hed	herd1236	Herdé			Latn	Developing	2 Stable	Emerging	0	40,000		hede1234	Yes	
hds	hond1239	Honduras Sign Language			Zxxx	Developing	2 Stable	Emerging	0	40,000		cost1251	Yes	
qub	hual1241	Huallaga Huánuco Quechua	Wallaqa rimay		Latn	Developing	2 Stable	Ascending	0	40,000	que	apam1237	Possibly	But probably want to use macrolanguage
geh	hutt1235	Hutterite German	Hutterisch		Latn	Vigorous	2 Stable	Emerging	0	40,000		glob1242	Yes	
iri	irig1241	Irigwe			Latn	Vigorous	3 Endangered	Emerging	0	40,000		sout3163	Yes	
keq	kama1350	Kamar				Vigorous	2 Stable	Still	0	40,000		halb1246	Yes	
vkk	kaur1269	Kaur	bahasa Kaur		Latn	Vigorous	2 Stable	Still	0	40,000	msa	high1292	Possibly	But probably want to use macrolanguage
xxk	keoo1238	Ke'o			Latn	Vigorous	2 Stable	Still	0	40,000		nage1238	Yes	
kyq	keng1240	Kenga			Latn	Developing	2 Stable	Ascending	0	40,000		bagi1248	Yes	
xkf	khen1241	Khengkha			Tibt	Vigorous	2 Stable	Emerging	0	40,000		bumt1238	Yes	
ozm	koon1245	Koonzime			Latn	Developing	3 Endangered	Ascending	0	40,000		njem1234	Yes	
kfo	koro1306	Koro (Côte d'Ivoire)			Latn	Vigorous	2 Stable	Still	0	40,000		koro1315	Yes	
bbu	kulu1255	Kulung (Nigeria)			Latn	Vigorous	2 Stable	Emerging	0	40,000		nige1254	Yes	
hia	lama1288	Lamang			Latn	Vigorous	3 Endangered	Emerging	0	40,000		lama1287	Yes	
lna	lang1318	Langbashe			Latn	Vigorous	2 Stable	Emerging	0	40,000		sout2786	Yes	
lro	laro1243	Laro			Latn	Educational	2 Stable	Emerging	0	40,000		eban1242	Yes	
